"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Semien, Marcus",543760,2026,173,19.7,7.5,".280",".315",35.2,8.1,35.2,"97.262605246","92.672617107",22.5,50.6
"Rodríguez, Julio",677594,2026,201,23.9,8,".331",".332",28.9,8.1,43,"102.081454559","95.279527852",28.6,52.5
"Turang, Brice",668930,2026,179,20.1,17.3,".407",".404",39.3,9.9,47.3,"101.766866727","95.825371927",17.4,40.8
"Herrera, Iván",671056,2026,202,16.8,13.9,".360",".364",31.3,6.1,42.7,"101.175934091","94.849624198",21.1,42
"Karros, Kyle",691720,2026,146,24.7,15.1,".297",".336",46.6,5.7,38.6,"99.575759773","94.033533678",26.2,41
"Chisholm Jr., Jazz",665862,2026,176,28.4,9.7,".291",".269",26.9,5.6,35.2,"99.075410769","93.684058846",30.8,43.8
"Raleigh, Cal",663728,2026,181,31.5,9.9,".254",".289",32.1,12.3,31.1,"98.783037736","93.452052547",30.5,53.1
"Lee, Brooks",686797,2026,163,17.2,6.7,".320",".272",33.3,4.9,28.5,"96.595781167","92.321617667",20.4,51.3
"Keaschall, Luke",807712,2026,183,15.8,9.8,".275",".280",32.8,3.8,26.9,"96.274506866","92.169569474",14.3,40.3
"Harris II, Michael",671739,2026,150,20,4,".369",".403",28.9,16.8,57.9,"105.87714625","98.17354",27.3,55.8
"Johnston, Troy",687859,2026,146,21.2,7.5,".373",".321",45.1,2,40.2,"98.6995852","93.599968586",23.8,49
"Perez, Salvador",521692,2026,181,22.1,3.3,".252",".271",31.8,9.1,40.9,"99.929462273","94.074208485",27.2,57.9
"McNeil, Jeff",643446,2026,147,12.9,7.5,".328",".315",40.4,0.9,30.7,"95.868034211","91.976391062",15.9,53.8
"Jensen, Carter",695600,2026,149,30.2,12.1,".336",".304",30.6,10.6,44.7,"102.448828605","95.669393765",35.1,43.8
"Young, Cole",702284,2026,181,22.7,8.3,".319",".331",35.5,7.4,40.5,"99.572828033","93.93932876",25.1,47.6
"Burger, Jake",669394,2026,171,26.9,4.7,".287",".289",32.8,9.5,46.6,"102.271301897","95.426274483",34.2,51.7
"Griffin, Konnor",804606,2026,157,28,7,".312",".316",36,9.1,33,"99.759319796","93.917023061",34.6,49.8
"Nimmo, Brandon",607043,2026,185,18.9,9.7,".346",".369",31.8,9.3,50.4,"101.592091231","95.703454264",23,49.4
"Collins, Isaac",686555,2026,145,26.2,13.1,".318",".312",32.1,9.5,42.9,"100.722147381","94.626957381",26.1,37.8
"Hicks, Liam",689414,2026,155,8.4,7.7,".370",".347",31.5,6.3,37,"98.253141905","93.202802143",9.7,44.3
"Machado, Manny",592518,2026,176,22.2,11.9,".276",".305",30.2,6,44,"100.903526552","95.015114174",24.3,47.7
"Seager, Corey",608369,2026,182,27.5,12.1,".286",".331",34.3,15.7,45.4,"102.044463148","95.473544815",35.2,50.5
"Cruz, Oneil",665833,2026,199,33.7,8,".355",".354",32.5,18.6,61.4,"107.095177193","99.13867292",36.9,45.3
"Torkelson, Spencer",679529,2026,173,31.8,14.5,".320",".342",48.4,15.6,46.2,"101.364120222","95.243361",27.5,40.3
"Carter, Evan",694497,2026,159,21.4,13.8,".287",".310",33.3,8.9,38.2,"99.406996458","93.803827813",25.2,40.8
"Burleson, Alec",676475,2026,189,16.4,9.5,".347",".379",30.7,11.4,47.1,"101.676503286","95.257508921",20.4,48.8
"Walker, Christian",572233,2026,187,19.3,9.6,".370",".336",30.5,12.2,45.8,"101.822022727","95.480121679",27.4,50.3
"Tovar, Ezequiel",678662,2026,159,27.7,5,".244",".291",41.9,7.6,36.2,"99.152686923","93.66752875",30.2,61.2
"Montgomery, Colson",695657,2026,179,29.1,8.9,".371",".340",38.5,15.4,42.3,"101.843977115","95.136325577",35.3,49.4
"Edwards, Xavier",669364,2026,189,11.1,12.7,".392",".354",36.8,6.3,36.8,"97.717786056","93.073845106",15.3,38.3
"Walker, Jordan",691023,2026,186,27.4,10.2,".427",".396",38.3,18.3,54.8,"105.993103276","97.908295391",33.5,51.7
"Rice, Ben",700250,2026,165,25.5,15.2,".465",".432",40.2,20.6,57.7,"103.714030408","96.953362062",26.3,39.8
"Nuñez, Nasim",683083,2026,149,19.5,12.8,".260",".276",30,0,18,"93.982903556","91.056706292",22.1,47.2
"Martínez, Angel",682657,2026,148,21.6,4.1,".338",".315",35.5,9.3,38.7,"100.712113077","94.515739709",18.2,51.9
"Happ, Ian",664023,2026,194,30.4,17.5,".381",".375",37.4,18.2,44.4,"102.2730338","95.545446162",34.1,40.7
"Henderson, Gunnar",683002,2026,203,28.6,6.4,".289",".290",30.5,9.2,44.3,"100.176014697","94.601292137",26,49.9
"Pages, Andy",681624,2026,180,20,6.7,".388",".360",33.8,7.7,50.8,"101.892369538","95.472042385",23.3,50.7
"McLain, Matt",680574,2026,183,21.9,12.6,".320",".331",35.6,7.7,33.9,"98.147977241","93.199713793",23.4,41.8
"Moniak, Mickey",666160,2026,145,25.5,6.2,".436",".342",34.7,15.3,43.9,"100.831034286","94.736485714",28.6,58.1
"Judge, Aaron",592450,2026,199,28.1,17.1,".429",".432",36.2,23.8,56.2,"105.533585094","97.860776857",33,42.8
"Stewart, Sal",701398,2026,197,19.3,11.7,".342",".371",36,17.7,41.2,"101.265628615","94.850843692",25.3,51.3
"Chapman, Matt",656305,2026,184,25,8.7,".273",".253",20.8,5.1,30.8,"98.935345932","93.496839915",25.7,43.2
"Jackson, Jeremiah",669236,2026,139,21.6,2.2,".290",".281",27.6,7.6,36.2,"100.125282692","94.232399615",28.1,59.7
"Friedl, TJ",670770,2026,160,23.1,7.5,".252",".258",29,3,29.9,"97.65587766","92.908443617",26.3,44.1
"Trout, Mike",545361,2026,199,26.1,20.1,".396",".428",33.7,22.3,51.9,"104.325438269","96.915085146",23.2,36.7
"Ozuna, Marcell",542303,2026,162,25.9,9.9,".272",".326",39.2,9,39.2,"99.9093108","94.1823963",28.3,40.7
"Abrams, CJ",682928,2026,186,19.9,10.8,".397",".369",34.1,11.5,40.7,"100.557643279","94.540893033",29.8,48.9
"Goodman, Hunter",696100,2026,168,35.1,6.5,".357",".308",34.7,14.9,50.5,"103.485448511","96.464322128",34.5,56.4
"Vargas, Miguel",678246,2026,189,16.4,15.9,".382",".404",42.4,15.2,45.6,"101.073837778","95.0337952",17.8,42.2
"Caballero, José",676609,2026,147,19.7,5.4,".323",".281",29.2,3.8,29.2,"96.884698367","92.447222755",27.7,50.2
"Tatis Jr., Fernando",665487,2026,184,24.5,9.8,".272",".344",34.2,11.7,57.5,"104.828751","97.355138824",31.8,49.5
"Adell, Jo",666176,2026,188,22.9,2.7,".311",".326",31.3,6.8,47,"102.567718358","95.808110226",26.1,56.9
"Lile, Daylen",695734,2026,194,17.5,8.2,".350",".357",38.5,8.5,38,"98.685008732","93.363580915",24.2,54.4
"Hoerner, Nico",663538,2026,203,7.9,8.9,".332",".334",40,1.8,24.8,"95.569009024","91.811460184",10.3,42.8
"Harper, Bryce",547180,2026,188,16,12.8,".394",".411",38.1,13.4,39.6,"100.605341194","94.338906343",26.7,53.2
"Bogaerts, Xander",593428,2026,173,16.2,9.8,".338",".341",32.8,7.8,35.9,"99.514665938","93.903710938",21.2,44.3
"Ramos, Heliot",671218,2026,176,26.7,5.7,".320",".326",33.6,13.8,48.7,"103.573738103","96.319038621",28.8,54.5
"Contreras, William",661388,2026,178,11.8,10.7,".335",".340",27,6.6,43.1,"100.902403188","94.663640146",18.3,45.9
"Crow-Armstrong, Pete",691718,2026,183,25.7,7.7,".302",".310",24.4,8.4,46.2,"102.153257544","95.717485221",27.6,54.7
"Laureano, Ramón",657656,2026,163,31.3,9.8,".305",".317",35.8,12.6,43.2,"100.1685325","94.515896737",30.8,50.8
"Gorman, Nolan",669357,2026,166,27.7,10.8,".301",".316",40.2,9.8,47.1,"101.530229216","94.994067745",35.2,49.4
"O'Hearn, Ryan",656811,2026,181,18.8,10.5,".368",".358",31,7.1,45.2,"100.032176508","94.68603246",20.8,43.8
"Varsho, Daulton",662139,2026,162,19.1,8,".314",".302",35.3,6,37.9,"98.543056207","93.324149304",20.5,55.6
"Garcia, Maikel",672580,2026,191,14.7,9.9,".329",".341",34,5.6,44.4,"101.015038732","94.853006408",15.2,37.3
"Bohm, Alec",664761,2026,165,14.5,6.7,".245",".268",35.2,1.6,39.1,"98.992093281","93.762064803",16.9,42.3
"Mullins, Cedric",656775,2026,145,17.9,4.1,".228",".215",25.7,1.9,27.1,"96.4548088","92.304543535",20.1,51.7
"Bichette, Bo",666182,2026,193,17.6,6.7,".247",".320",32.2,4.8,43.8,"100.921236301","94.912839452",17.8,53.2
"Caglianone, Jac",695506,2026,144,29.9,8.3,".320",".329",36.8,16.1,54,"105.939469545","97.720614483",32,46.5
"Schmitt, Casey",669477,2026,147,21.8,4.1,".355",".346",34.6,14.6,48.1,"101.066732692","95.027026893",23.9,51
"Bellinger, Cody",641355,2026,190,12.6,14.7,".373",".378",42,8,39.9,"98.883207971","93.84251438",17.3,43.1
"Okamoto, Kazuma",672960,2026,181,28.7,11.6,".347",".362",35.2,15.7,53.7,"104.115179444","96.856818796",31.5,43.5
"Olson, Matt",621566,2026,198,25.3,11.1,".416",".392",34.9,18.3,50.8,"104.704011429","96.956469683",25.8,44.7
"Marte, Ketel",606466,2026,175,17.7,6.9,".277",".339",30.3,9.1,47,"102.990259091","95.750200992",22.6,49.5
"Jung, Josh",673962,2026,168,15.5,6,".378",".356",40,5.4,46.2,"100.480804769","94.589613462",17.2,48.1
"Crawford, Justin",702222,2026,140,20,7.9,".338",".293",30.3,2,38.4,"98.391210408","93.382204742",19.9,51
"Kurtz, Nick",701762,2026,198,29.8,20.2,".407",".401",42.3,17.5,59.8,"105.998422041","98.529866289",35.7,39.6
"Freeman, Freddie",518692,2026,181,12.7,9.4,".341",".384",37.1,11.4,48.6,"101.60891","95.263846214",20.5,51.9
"Aranda, Jonathan",666018,2026,185,23.2,14.6,".378",".368",37.5,9.8,42.9,"99.819835179","94.180216875",22.3,43.2
"Norby, Connor",681393,2026,149,30.2,10.1,".329",".298",31,9.5,35.7,"97.623084762","93.023046071",32.5,47.5
"Neto, Zach",687263,2026,207,30.4,13.5,".339",".325",35.4,10.6,38.9,"98.9108","93.766062768",30.4,49.5
"Rocchio, Brayan",677587,2026,166,10.2,9,".326",".308",27.5,2.3,30.2,"96.883831111","92.47786808",21.2,47.6
"Young, Jacob",696285,2026,161,16.8,5,".259",".294",36.3,4.1,29.8,"97.0814905","92.617272583",21,44.3
"Lowe, Brandon",664040,2026,176,22.2,13.1,".396",".377",36.3,13.3,42.5,"101.052165965","94.735384867",34.5,47.6
"Pasquantino, Vinnie",686469,2026,185,19.5,10.8,".284",".311",33.6,9.4,38.3,"99.488934531","93.985558976",17.6,46.6
"De La Cruz, Elly",682829,2026,200,27,8.5,".387",".377",35.9,15.3,52.3,"105.193806129","97.579158548",29.4,39.8
"Buxton, Byron",621439,2026,185,25.4,7,".385",".335",33.3,21.1,47.2,"101.37146871","95.127405772",32.2,53.6
"Merrill, Jackson",701538,2026,180,26.1,8.3,".275",".314",35,9.5,48.7,"100.879260526","94.905367982",28.2,56.3
"Turner, Trea",607208,2026,196,21.4,6.6,".278",".276",31.2,4.3,39,"99.050892113","93.716166241",26.8,50.6
"Wilson, Jacob",805779,2026,168,11.9,3,".314",".275",32.2,2.1,30.1,"96.230541857","92.122782714",15.6,57.5
"Muncy, Max",571970,2026,164,23.8,13.4,".406",".428",35.9,19.4,54.4,"103.117287308","96.382594272",27.9,43.8
"Schanuel, Nolan",694384,2026,175,16.6,6.9,".306",".304",36.1,2.3,31.6,"97.023673788","92.519381212",18.9,45.9
"Steer, Spencer",668715,2026,170,21.2,8.2,".348",".394",42.7,16.1,40.2,"100.054074107","94.5481725",23.4,42.9
"Abreu, Wilyer",677800,2026,183,18.6,10.9,".372",".362",30.2,10.9,45.7,"101.537885156","95.145418203",20.5,46.2
"Duran, Jarren",680776,2026,168,26.2,6.5,".242",".288",24.3,9.2,39.6,"101.715836909","94.987039908",34.2,49.5
"Ohtani, Shohei",660271,2026,190,24.2,15.3,".349",".377",34.5,16.5,47.3,"102.275444545","95.925761101",28.8,43.6
"Church, Nathan",701675,2026,141,20.6,4.3,".301",".304",36.5,9.6,31.7,"97.907784118","92.98645951",22.7,57.3
